PASSENGERS,ORIGIN,DEST,YEAR,MONTH
0,ANC,SCC,2018,6
0,ANC,SEA,2018,6
0,ANC,SIT,2018,6
0,ANC,YAK,2018,6
0,BET,ANC,2018,6
0,BET,DLG,2018,6
0,BRW,ANC,2018,6
0,CDV,ANC,2018,6
0,CDV,JNU,2018,6
0,CDV,SEA,2018,6
0,DLG,ANC,2018,6
0,JNU,ANC,2018,6
0,JNU,KTN,2018,6
0,JNU,SEA,2018,6
0,JNU,SIT,2018,6
0,JNU,YAK,2018,6
0,KTN,ANC,2018,6
0,KTN,JNU,2018,6
0,KTN,SEA,2018,6
0,KTN,SIT,2018,6
0,OME,ANC,2018,6
0,OTZ,ANC,2018,6
0,OTZ,DLG,2018,6
0,PSG,ANC,2018,6
0,PSG,JNU,2018,6
0,PSG,SEA,2018,6
0,SCC,ANC,2018,6
0,SCC,BRW,2018,6
0,SEA,ANC,2018,6
0,SEA,JNU,2018,6
0,SEA,KTN,2018,6
0,SEA,PSG,2018,6
0,SEA,SIT,2018,6
0,SEA,WRG,2018,6
0,SIT,ANC,2018,6
0,SIT,JNU,2018,6
0,SIT,KTN,2018,6
0,SIT,PSG,2018,6
0,SIT,SEA,2018,6
0,WRG,ANC,2018,6
0,WRG,JNU,2018,6
0,YAK,JNU,2018,6
0,YAK,SEA,2018,6
0,ABQ,MSY,2018,6
0,ICT,DEN,2018,6
0,LIT,SNA,2018,6
0,ADQ,ANC,2018,6
0,AKN,ANC,2018,6
0,AKN,ANC,2018,6
0,AKN,EGX,2018,6
0,ANC,ADQ,2018,6
0,ANC,AKN,2018,6
0,ANC,ANC,2018,6
0,ANC,ANI,2018,6
0,ANC,BET,2018,6
0,ANC,CDB,2018,6
